__documents,__norm,__class,hi,hello,hey,good,morn,afternoon,even,how,it,'s,go,nice,to,see,you,great,yo,what,’,s,up,sup,heyyy,bye,are,fine,do,all,where,live,happi,is,your,name,can,i,call,goodby,'m,and,now,jone
hi,1.462397997898956,welcome,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hello,1.462397997898956,welcome,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hey,1.462397997898956,welcome,0.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good morn,0.824837894015304,welcome,0.0,0.0,0.0,0.3817139967814686,0.731198998949478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good afternoon,0.824837894015304,welcome,0.0,0.0,0.0,0.3817139967814686,0.0,0.731198998949478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good even,0.824837894015304,welcome,0.0,0.0,0.0,0.3817139967814686,0.0,0.0,0.731198998949478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how it 's go,0.5699964521312105,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903420005587437,0.2150845016427484,0.24631918579482337,0.365599499474739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nice to see you,0.5180468327055376,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365599499474739,0.24631918579482337,0.24631918579482337,0.115599499474739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it 's great to see you,0.40841536863768346,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14338966776183226,0.16421279052988225,0.0,0.0,0.16421279052988225,0.16421279052988225,0.07706633298315933,0.243732999649826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good to see you,0.41368577531114165,welcome,0.0,0.0,0.0,0.1908569983907343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24631918579482337,0.24631918579482337,0.115599499474739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yo,1.462397997898956,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what ’ s up,0.6687677660409842,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150845016427484,0.365599499474739,0.365599499474739,0.365599499474739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sup,1.462397997898956,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heyyy,1.462397997898956,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bye,1.462397997898956,goodbyes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
are you fine,0.4338682441533073,feelings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15413266596631867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867793355236645,0.2867793355236645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how are you,0.5058292455218428,feelings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38712266741165824,0.0,0.0,0.0,0.0,0.0,0.0,0.15413266596631867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867793355236645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
are you do fine,0.40811649227059393,feelings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115599499474739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150845016427484,0.2150845016427484,0.24631918579482337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it all fine,0.5606681141198476,feelings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867793355236645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2867793355236645,0.0,0.38712266741165824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it all good,0.5448526226341027,feelings,0.0,0.0,0.0,0.2544759978543124,0.0,0.0,0.0,0.0,0.2867793355236645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38712266741165824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
where do you live,0.49257825789040055,living,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115599499474739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24631918579482337,0.0,0.2903420005587437,0.2903420005587437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
are you happi where do you live,0.3886753683866337,living,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132113713685416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12290542951014194,0.0,0.14075382045418477,0.0,0.1659097146049964,0.1659097146049964,0.20891399969985086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what is your name,0.590356918685634,name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150845016427484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365599499474739,0.2903420005587437,0.2903420005587437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what 's your name,0.5249108864506824,name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24631918579482337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2150845016427484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903420005587437,0.2903420005587437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
what can i call you,0.5130296225032048,name,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09247959957979121,0.0,0.0,0.17206760131419874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29247959957979125,0.23227360044699497,0.29247959957979125,0.0,0.0,0.0,0.0,0.0
goodby,1.462397997898956,goodbyes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956,0.0,0.0,0.0,0.0
i 'm fine and you,0.5130296225032048,feelings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09247959957979121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17206760131419874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23227360044699497,0.0,0.0,0.29247959957979125,0.29247959957979125,0.0,0.0
now,1.462397997898956,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956,0.0
jone,1.462397997898956,welcome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462397997898956
